feature,mean_abs_shap
voltage_drop,106.63254779133625
bat_voltage,100.3168440547023
rpm,95.56540689128397
voltage_smoothed,15.674548855312219
bat_voltage_rollmean_3,11.40897084388385
rpm_rollmean_3,9.944515616779006
bat_voltage_lag_1,9.815262281148607
ac_on_label,7.837168554373563
rpm_smoothed,6.561415391830326
bat_voltage_lag_2,4.702032516611158
ac_compressor_score,3.857305749779016
rpm_lag_3,3.706304342844202
engine_load,2.8230327668876054
rpm_lag_1,2.306260512860244
rpm_lag_2,2.2821178379116307
temp_rpm_interaction,2.1900397592725507
bat_voltage_lag_3,2.102800080074362
intake_temp_smoothed,1.1236383403925183
intake_temp,1.0768278822981912
speed,0.9479560911922971
bat_level,0.9059841466919953
track_pos_sog,0.6077408648542458
speed_rollmean_3,0.5772282900133309
speed_lag_1,0.556191513089792
temperature,0.43073413939658917
speed_lag_2,0.40767645069739217
temp_cpu_y,0.4052933886561501
accelerator_pos_d,0.3477794548278105
speed_lag_3,0.2797124571790931
temperature_rollmean_3,0.22492020852937664
temp_cpu_x,0.21884368513165997
fuel_level,0.20339366556933636
temperature_lag_1,0.19825385029765016
temp_gpu,0.1879390013117352
track_pos_alt,0.1761551074435033
humidity_over_voltage,0.170119319325451
loc_lat,0.13513918592054153
cog,0.11562063812712652
temperature_lag_2,0.10180265738426941
track_pos_nsat_glonass,0.09388287292306033
track_pos_nsat,0.09036037088908715
hour,0.08146719207737166
loc_lon,0.07384410313099152
humidity_lag_3,0.053660429326485015
temperature_lag_3,0.02497821891296918
weather_code,0.02069651224541127
humidity_rollmean_3,0.017878442678938546
humidity,0.014897282917915988
humidity_lag_1,0.012284244484375522
is_daytime,0.010675038146599626
weather_desc_encoded,0.00812248902366111
is_raining,0.0030299956819898476
lon_rounded,0.0015095438537824596
lat_rounded,0.0007357693491172067
is_hot,0.0
humidity_lag_2,0.0
